Fecha,Importaciones,Exportaciones
2016/04,32495.321,30386.668
2016/05,31852.312,31410.208
2016/06,32465.973,31949.296
2016/07,31599.262,29773.01
2016/08,34332.06,32446.304
2016/09,34227.646,32700.558
2016/10,33493.449,32595.765
2016/11,34265.011,34343.966
2016/12,33206.048,33195.659
2017/01,30788.434,27316.175
2017/02,30586.757,31345.973
2017/03,36110.316,36048.426
2017/04,30869.68,31768.954
2017/05,36546.951,35342.342
2017/06,35548.917,35547.887
2017/07,33687.183,32155.156
2017/08,38513.13,35926.907
2017/09,35706.801,33771.318
2017/10,38969.493,36715.63
2017/11,37082.913,37507.573
2017/12,35984.012,35986.234
2018/01,35140.478,30718.527
2018/02,34149.86,35093.79
2018/03,37734.615,39484.266
2018/04,37471.965,37181.665
2018/05,40766.241,39213.903
2018/06,38383.337,37483.508
2018/07,39612.118,36742.201
2018/08,42129.496,39545.381
2018/09,38001.683,37700.6
2018/10,44290.891,41356.253
2018/11,40928.716,38595.464
2018/12,35692.967,37597.547
2019/01,37263.003,32637.726
2019/02,35074.088,36438.032
2019/03,37531.219,39019.526
2019/04,38076.872,39586.575
2019/05,40794.739,41752.194
2019/06,35388.247,37929.397
2019/07,40417.297,39127.267
2019/08,39655.109,40057.283
2019/09,37338.1,37185.912
2019/10,41456.274,40768.524
2019/11,36705.372,37472.527
2019/12,35594.967,38728.84
2020/01,36068.885,33587.787
2020/02,33723.763,36591.757
2020/03,35007.165,38342.697
