CLAVE,SITIO,CUENCA,CUERPO_DE_AGUA,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,TIPO,SUBTIPO,LONGITUD,LATITUD,ANIO,DBO_mg/L,DQO_mg/L,SST_mg/L,SDT_mg/L,CALIDAD_DBO,CALIDAD_DQO,CALIDAD_SST,CALIDAD_SDT,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_SDT,SEMAFORO,GRUPO
DLBAJ160,"PLAYA SANTA ROSALIA SEG23, 1 ISA8A",COSTERO,GOLFO DE CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,OCEANO-MAR,-112.26933,27.35023,2016,ND,ND,35.5,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ163,LAGUNA SAN IGNACIO 4,COSTERO,LAGUNA SAN IGNACIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-113.1661,26.98749,2016,ND,ND,80,ND,ND,ND,Aceptable,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ164,LAGUNA SAN IGNACIO 5,COSTERO,LAGUNA SAN IGNACIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-113.17406,26.96917,2016,ND,ND,29.75,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ165,LAGUNA SAN IGNACIO 3,COSTERO,LAGUNA SAN IGNACIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-113.14605,26.94383,2016,ND,ND,17.25,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ166,LAGUNA SAN IGNACIO 1,COSTERO,LAGUNA SAN IGNACIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-113.14135,26.9028,2016,ND,ND,26,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ167,LAGUNA SAN IGNACIO 8,COSTERO,LAGUNA SAN IGNACIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-113.171357,26.87106,2016,ND,ND,18.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ168,LAGUNA SAN IGNACIO 7,COSTERO,LAGUNA SAN IGNACIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-113.15,26.786,2016,ND,ND,24.75,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ169,"PLAYA SANTA ROSALIA, EL BOLEO",COSTERO,GOLFO DE CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,OCEANO-MAR,-112.2933,27.37706,2016,ND,ND,6.25,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ170,LAGUNA SAN IGNACIO,COSTERO,TRANSICION LAGUNA - MAR,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-113.2707,26.7362,2016,ND,ND,19.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ171,LAGUNA SAN IGNACIO 2,COSTERO,LAGUNA SAN IGNACIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-113.26459,26.81313,2016,ND,ND,11,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
